Kota/Kabupaten,Latitude,Longitude
Kabupaten Bantul,-7.928611,110.335000
Kabupaten Gunung Kidul,-7.930670,110.616500
Kabupaten Kulon Progo,-7.831180,110.164110
Kabupaten Sleman,-7.715270,110.355400

Kota Yogyakarta,-7.797068,110.370529
