Kota/Kabupaten,Latitude,Longitude
Kabupaten Lebak,-6.564270,106.252214
Kabupaten Pandeglang,-6.613694,106.109332
Kabupaten Serang,-6.123354,106.150963
Kabupaten Tangerang,-6.178306,106.629663

Kota Cilegon,-6.002813,106.051414
Kota Serang,-6.110366,106.163974
Kota Tangerang,-6.178306,106.629663
Kota Tangerang Selatan,-6.288620,106.718573
