WKT,Kota/Kabupaten,Latitude,Longitude
"POINT (106.252214 -6.56427)",Kabupaten Lebak,-6.564270,106.252214
"POINT (106.109332 -6.613694)",Kabupaten Pandeglang,-6.613694,106.109332
"POINT (106.150963 -6.123354)",Kabupaten Serang,-6.123354,106.150963
"POINT (106.629663 -6.178306)",Kabupaten Tangerang,-6.178306,106.629663
"POINT (106.051414 -6.002813)",Kota Cilegon,-6.002813,106.051414
"POINT (106.163974 -6.110366)",Kota Serang,-6.110366,106.163974
"POINT (106.629663 -6.178306)",Kota Tangerang,-6.178306,106.629663
"POINT (106.718573 -6.28862)",Kota Tangerang Selatan,-6.288620,106.718573
