WKT,Kota/Kabupaten,Latitude,Longitude
"POINT (106.758026 -6.168329)",Kota Jakarta Barat,-6.168329,106.758026
"POINT (106.834091 -6.186486)",Kota Jakarta Pusat,-6.186486,106.834091
"POINT (106.810075 -6.261493)",Kota Jakarta Selatan,-6.261493,106.810075
"POINT (106.900447 -6.225014)",Kota Jakarta Timur,-6.225014,106.900447
"POINT (106.88229 -6.14185)",Kota Jakarta Utara,-6.141850,106.882290
"POINT (106.57571 -5.730157)",Kabupaten Kepulauan Seribu,-5.730157,106.575710
